transaction_id,transaction_date,customer_id,merchant_id,transaction_amount,transaction_type,currency
402a0480-4327-45b3-af26-ecc71dd9ecf3,2024-03-23 13:51:17,bcfa5b7d-c0c2-446e-b93f-447cf7cd2836,Matthews-Blankenship,872.07,purchase,USD
ef9242d9-aedb-41cf-885e-f9a7c451bbd0,2024-10-30 05:25:29,53d99aa2-7b4f-4139-a814-e4e971571955,"Elliott, Williams and Huff",92.4,refund,USD
193bdb96-6371-4816-a84e-a7bc6b31bbb2,2024-08-31 22:15:20,459d6508-904a-49fb-8c2b-5d0f6a02235d,"Thompson, Zimmerman and Jones",444.35,purchase,USD
09fcf85e-228e-4525-9adc-a24e830e248c,2024-02-09 17:45:11,686b684e-38ce-4148-882b-aa41a5d41454,Hamilton-Williams,241.3,purchase,USD
a9bc0019-800d-429b-bf3d-82d538a602c2,2023-12-18 09:56:16,9b5da9fd-bac3-4cf0-854a-db2b35eb297a,"Salinas, Garcia and Stewart",422.32,purchase,USD
140f0602-c20d-4981-a4bb-f34a4fbeafc8,2024-11-13 00:18:12,19e29bcf-d80a-48a2-b428-cd6ead57c5d6,Bates-Hayes,908.89,refund,USD
657159e8-dd52-4074-b848-cd4466bad4a0,2023-12-09 08:32:45,879c8e8a-47a6-4916-a511-3c79a1902f9a,"Young, Davis and Price",862.82,refund,USD
d23e55c4-ec50-47ac-8a3d-a36d73d36d43,2024-09-11 20:44:07,ed157f49-8035-4245-8bf4-1878896cb6ed,Sharp-Jones,311.99,refund,USD
39add13b-9305-458a-81d2-a8753e62cf05,2024-07-19 08:12:06,6fe07f4e-01c9-44d5-9e01-2ccb89fa5e2b,Dougherty Inc,489.74,purchase,USD
660e158e-0b5a-4265-883f-be4ee4f75631,2024-11-25 19:13:34,16b2d865-a5bd-4022-940c-5c15130746ca,Carter Group,760.66,refund,USD
6374ae40-869e-4c04-a8c7-683881064050,2024-08-27 21:30:10,dec8bb9d-cfff-4758-aa82-e810d075a96b,Garcia-Davis,634.89,purchase,USD
e98882dd-da2e-447d-856c-5f31a78eae32,2024-06-12 19:30:14,f0d23a77-297e-4cb6-bd1a-be1159a1d3f5,"Clark, Hall and Rose",284.47,purchase,USD
cd6716e0-4f42-4580-afe5-4209f229a2be,2024-10-26 05:57:19,17cbb9d6-009a-47a3-bb75-63ad8e2fc1cb,Carson-Adams,812.14,refund,USD
e42076a0-779f-4111-8f50-13bff1df5af0,2024-10-17 11:50:30,dfe39a36-eeb5-4fe8-96d1-4c0e2b7e4785,Miller-Martinez,313.66,purchase,USD
7c117376-a0cf-4fad-861c-361f3cd11456,2024-01-30 10:56:46,380f69e4-16ae-426b-89a2-658bd5893748,Chase-Martinez,645.1,refund,USD
473bca57-2632-47f8-aac5-8ffd20595e35,2024-11-16 13:33:24,5ea8aab4-0fd7-4870-8cd5-db33ddfecc9a,Medina Ltd,128.65,purchase,USD
1a0e05f2-e2b1-4a11-97c3-7ed661c5ad16,2024-09-11 18:09:25,79752bb2-9ef3-43fb-93c5-a38962deeca1,"Kim, Beck and Daniels",151.38,purchase,USD
81fc0f8e-0ea5-44f8-9b85-8f9063d4664b,2023-12-15 23:43:37,bec9fe91-f412-4f44-a3be-88a43d3d26ec,Lewis-Moore,267.89,refund,USD
